type,time,latitude,longitude,altitude (ft),name,desc
T,2019-09-20 03:20:38,34.057642000,-118.358775000,166.7,,
T,2019-09-20 03:20:40,34.057636000,-118.358735000,167.0,,
T,2019-09-20 03:20:44,34.057635000,-118.358698000,173.6,,
T,2019-09-20 03:20:46,34.057626000,-118.358666000,173.9,,
T,2019-09-20 03:20:50,34.057625000,-118.358619000,174.5,,
T,2019-09-20 03:20:54,34.057640000,-118.358582000,175.2,,
T,2019-09-20 03:20:57,34.057643000,-118.358546000,175.5,,
T,2019-09-20 03:21:02,34.057648000,-118.358505000,176.2,,
T,2019-09-20 03:21:05,34.057649000,-118.358465000,176.5,,
T,2019-09-20 03:21:07,34.057657000,-118.358424000,177.2,,
T,2019-09-20 03:21:10,34.057658000,-118.358389000,177.8,,
T,2019-09-20 03:21:12,34.057656000,-118.358355000,178.1,,
T,2019-09-20 03:21:15,34.057648000,-118.358320000,178.5,,
T,2019-09-20 03:21:19,34.057649000,-118.358283000,179.1,,
T,2019-09-20 03:21:22,34.057650000,-118.358246000,179.5,,
T,2019-09-20 03:21:25,34.057645000,-118.358197000,183.7,,
T,2019-09-20 03:21:27,34.057637000,-118.358164000,184.1,,
T,2019-09-20 03:21:30,34.057627000,-118.358124000,184.7,,
T,2019-09-20 03:21:33,34.057612000,-118.358095000,184.7,,
T,2019-09-20 03:21:40,34.057647000,-118.358103000,184.7,,
T,2019-09-20 03:21:42,34.057678000,-118.358101000,184.7,,
T,2019-09-20 03:21:45,34.057711000,-118.358089000,184.7,,
T,2019-09-20 03:21:47,34.057739000,-118.358076000,184.4,,
T,2019-09-20 03:21:50,34.057764000,-118.358057000,184.1,,
T,2019-09-20 03:21:53,34.057799000,-118.358051000,184.1,,
T,2019-09-20 03:21:56,34.057831000,-118.358031000,183.7,,
T,2019-09-20 03:21:59,34.057863000,-118.358015000,183.4,,
T,2019-09-20 03:22:01,34.057894000,-118.358012000,183.1,,
T,2019-09-20 03:22:04,34.057927000,-118.357988000,182.7,,
T,2019-09-20 03:22:07,34.057958000,-118.357963000,182.1,,
T,2019-09-20 03:22:10,34.057988000,-118.357948000,181.8,,
T,2019-09-20 03:22:14,34.058019000,-118.357936000,181.1,,
T,2019-09-20 03:22:17,34.058057000,-118.357924000,180.4,,
T,2019-09-20 03:22:20,34.058086000,-118.357899000,180.1,,
T,2019-09-20 03:22:22,34.058116000,-118.357890000,179.1,,
T,2019-09-20 03:22:25,34.058146000,-118.357880000,178.5,,
T,2019-09-20 03:22:29,34.058187000,-118.357870000,177.5,,
T,2019-09-20 03:22:32,34.058222000,-118.357862000,176.8,,
T,2019-09-20 03:22:35,34.058261000,-118.357853000,175.5,,
T,2019-09-20 03:22:38,34.058288000,-118.357836000,174.9,,
T,2019-09-20 03:22:42,34.058318000,-118.357825000,173.9,,
T,2019-09-20 03:22:45,34.058349000,-118.357806000,172.9,,
T,2019-09-20 03:22:46,34.058367000,-118.357779000,171.9,,
T,2019-09-20 03:22:48,34.058397000,-118.357767000,171.3,,
T,2019-09-20 03:22:51,34.058437000,-118.357757000,169.9,,
T,2019-09-20 03:22:54,34.058479000,-118.357754000,169.0,,
T,2019-09-20 03:22:56,34.058508000,-118.357742000,168.3,,
T,2019-09-20 03:22:58,34.058541000,-118.357725000,167.3,,
T,2019-09-20 03:23:00,34.058569000,-118.357717000,167.0,,
T,2019-09-20 03:23:02,34.058594000,-118.357703000,166.7,,
T,2019-09-20 03:23:05,34.058619000,-118.357676000,166.3,,
T,2019-09-20 03:23:08,34.058651000,-118.357658000,166.3,,
T,2019-09-20 03:23:10,34.058686000,-118.357662000,166.3,,
T,2019-09-20 03:23:13,34.058719000,-118.357633000,166.3,,
T,2019-09-20 03:23:16,34.058753000,-118.357631000,166.3,,
T,2019-09-20 03:23:19,34.058788000,-118.357618000,166.3,,
T,2019-09-20 03:23:21,34.058812000,-118.357601000,166.3,,
T,2019-09-20 03:23:24,34.058839000,-118.357587000,166.7,,
T,2019-09-20 03:23:27,34.058875000,-118.357564000,166.7,,
T,2019-09-20 03:23:29,34.058903000,-118.357555000,167.0,,
T,2019-09-20 03:23:31,34.058929000,-118.357536000,167.3,,
T,2019-09-20 03:23:33,34.058963000,-118.357528000,167.3,,
T,2019-09-20 03:23:35,34.058990000,-118.357516000,167.7,,
T,2019-09-20 03:23:37,34.059019000,-118.357518000,168.0,,
T,2019-09-20 03:23:40,34.059048000,-118.357484000,168.6,,
T,2019-09-20 03:23:46,34.059075000,-118.357492000,169.0,,
T,2019-09-20 03:23:50,34.059091000,-118.357462000,169.6,,
T,2019-09-20 03:23:55,34.059120000,-118.357444000,169.9,,
T,2019-09-20 03:23:57,34.059146000,-118.357431000,170.3,,
T,2019-09-20 03:24:00,34.059177000,-118.357431000,170.9,,
T,2019-09-20 03:24:04,34.059205000,-118.357429000,171.3,,
T,2019-09-20 03:24:09,34.059232000,-118.357419000,171.6,,
T,2019-09-20 03:24:22,34.059258000,-118.357408000,172.2,,
T,2019-09-20 03:24:28,34.059287000,-118.357397000,172.6,,
T,2019-09-20 03:24:31,34.059313000,-118.357388000,172.9,,
T,2019-09-20 03:24:35,34.059339000,-118.357373000,173.6,,
T,2019-09-20 03:24:40,34.059371000,-118.357351000,174.2,,
T,2019-09-20 03:24:44,34.059402000,-118.357333000,175.2,,
T,2019-09-20 03:24:47,34.059431000,-118.357332000,175.5,,
T,2019-09-20 03:24:50,34.059459000,-118.357330000,176.2,,
T,2019-09-20 03:24:53,34.059483000,-118.357313000,176.8,,
T,2019-09-20 03:24:57,34.059517000,-118.357304000,177.5,,
T,2019-09-20 03:25:00,34.059549000,-118.357296000,178.1,,
T,2019-09-20 03:25:03,34.059576000,-118.357287000,178.8,,
T,2019-09-20 03:25:08,34.059601000,-118.357264000,179.5,,
T,2019-09-20 03:25:18,34.059626000,-118.357241000,180.1,,
T,2019-09-20 03:25:22,34.059653000,-118.357217000,180.8,,
T,2019-09-20 03:25:25,34.059689000,-118.357203000,181.1,,
T,2019-09-20 03:25:28,34.059722000,-118.357179000,181.4,,
T,2019-09-20 03:25:31,34.059751000,-118.357169000,181.8,,
T,2019-09-20 03:25:33,34.059784000,-118.357182000,182.1,,
T,2019-09-20 03:25:37,34.059815000,-118.357167000,182.4,,
T,2019-09-20 03:25:40,34.059844000,-118.357157000,182.7,,
T,2019-09-20 03:25:42,34.059868000,-118.357135000,183.1,,
T,2019-09-20 03:25:44,34.059895000,-118.357127000,183.1,,
T,2019-09-20 03:25:48,34.059929000,-118.357121000,183.1,,
T,2019-09-20 03:25:51,34.059956000,-118.357110000,183.4,,
T,2019-09-20 03:25:53,34.059983000,-118.357086000,183.4,,
T,2019-09-20 03:25:56,34.060015000,-118.357079000,183.4,,
T,2019-09-20 03:25:59,34.060047000,-118.357061000,183.7,,
T,2019-09-20 03:26:03,34.060081000,-118.357052000,183.7,,
T,2019-09-20 03:26:05,34.060104000,-118.357032000,183.7,,
T,2019-09-20 03:26:08,34.060136000,-118.357025000,183.7,,
T,2019-09-20 03:26:10,34.060163000,-118.357017000,183.7,,
T,2019-09-20 03:26:12,34.060188000,-118.357004000,183.7,,
T,2019-09-20 03:26:16,34.060220000,-118.357002000,183.7,,
T,2019-09-20 03:26:20,34.060251000,-118.357004000,183.7,,
T,2019-09-20 03:26:24,34.060279000,-118.356979000,183.4,,
T,2019-09-20 03:26:27,34.060302000,-118.356952000,183.4,,
T,2019-09-20 03:26:30,34.060327000,-118.356933000,183.4,,
T,2019-09-20 03:26:33,34.060359000,-118.356923000,183.4,,
T,2019-09-20 03:26:36,34.060389000,-118.356925000,183.4,,
T,2019-09-20 03:26:40,34.060420000,-118.356919000,183.1,,
T,2019-09-20 03:26:43,34.060453000,-118.356903000,183.1,,
T,2019-09-20 03:26:46,34.060485000,-118.356884000,183.1,,
T,2019-09-20 03:26:49,34.060516000,-118.356874000,183.1,,
T,2019-09-20 03:26:52,34.060547000,-118.356856000,183.1,,
T,2019-09-20 03:26:54,34.060573000,-118.356844000,183.1,,
T,2019-09-20 03:26:57,34.060600000,-118.356828000,183.1,,
T,2019-09-20 03:26:59,34.060627000,-118.356814000,183.1,,
T,2019-09-20 03:27:02,34.060660000,-118.356818000,181.8,,
T,2019-09-20 03:27:05,34.060689000,-118.356822000,181.4,,
T,2019-09-20 03:27:09,34.060718000,-118.356845000,181.1,,
T,2019-09-20 03:27:13,34.060718000,-118.356882000,180.8,,
T,2019-09-20 03:27:16,34.060733000,-118.356911000,180.8,,
T,2019-09-20 03:27:19,34.060743000,-118.356953000,180.1,,
T,2019-09-20 03:27:22,34.060729000,-118.356995000,179.8,,
T,2019-09-20 03:27:24,34.060727000,-118.357033000,179.5,,
T,2019-09-20 03:27:26,34.060723000,-118.357065000,179.1,,
T,2019-09-20 03:27:28,34.060712000,-118.357099000,178.8,,
T,2019-09-20 03:27:31,34.060710000,-118.357136000,178.5,,
T,2019-09-20 03:27:34,34.060716000,-118.357175000,178.1,,
T,2019-09-20 03:27:36,34.060728000,-118.357205000,177.8,,
T,2019-09-20 03:27:38,34.060729000,-118.357240000,177.5,,
T,2019-09-20 03:27:41,34.060733000,-118.357279000,176.8,,
T,2019-09-20 03:27:44,34.060733000,-118.357320000,176.5,,
T,2019-09-20 03:27:46,34.060719000,-118.357358000,176.2,,
T,2019-09-20 03:27:48,34.060717000,-118.357392000,175.9,,
T,2019-09-20 03:27:51,34.060724000,-118.357431000,175.5,,
T,2019-09-20 03:27:54,34.060706000,-118.357459000,175.2,,
T,2019-09-20 03:27:57,34.060683000,-118.357490000,174.2,,
T,2019-09-20 03:28:00,34.060651000,-118.357498000,174.2,,
T,2019-09-20 03:28:03,34.060621000,-118.357504000,174.2,,
T,2019-09-20 03:28:06,34.060584000,-118.357524000,174.2,,
T,2019-09-20 03:28:09,34.060557000,-118.357544000,174.2,,
T,2019-09-20 03:28:11,34.060526000,-118.357558000,174.2,,
T,2019-09-20 03:28:13,34.060496000,-118.357570000,174.2,,
T,2019-09-20 03:28:15,34.060465000,-118.357588000,174.2,,
T,2019-09-20 03:28:18,34.060435000,-118.357601000,174.2,,
T,2019-09-20 03:28:21,34.060401000,-118.357599000,174.2,,
T,2019-09-20 03:28:28,34.060406000,-118.357631000,174.2,,
T,2019-09-20 03:28:32,34.060433000,-118.357638000,174.2,,
T,2019-09-20 03:28:34,34.060466000,-118.357625000,174.2,,
T,2019-09-20 03:28:36,34.060500000,-118.357618000,174.2,,
T,2019-09-20 03:28:38,34.060523000,-118.357599000,174.2,,
T,2019-09-20 03:28:40,34.060550000,-118.357587000,174.2,,
T,2019-09-20 03:28:46,34.060565000,-118.357550000,174.2,,
T,2019-09-20 03:28:48,34.060592000,-118.357535000,174.2,,
T,2019-09-20 03:28:50,34.060618000,-118.357526000,174.2,,
T,2019-09-20 03:28:53,34.060648000,-118.357499000,174.2,,
T,2019-09-20 03:28:58,34.060675000,-118.357474000,174.2,,
